Category,Graduate and professional students living off campus,Undergraduate students living off campus,Undergraduate students living on campus
17-Aug,0,0,0
18-Aug,0,1,0
19-Aug,0,1,0
20-Aug,0,6,2
21-Aug,0,0,0
22-Aug,0,2,1
23-Aug,0,2,1
24-Aug,1,15,6
25-Aug,0,0,0
26-Aug,0,2,4
27-Aug,0,3,6
28-Aug,1,5,3
29-Aug,3,2,1
30-Aug,0,0,0
31-Aug,0,0,1
1-Sep,3,2,8
2-Sep,1,4,2
3-Sep,0,2,1
4-Sep,1,1,2
5-Sep,2,5,4
6-Sep,0,0,0
7-Sep,1,3,1
8-Sep,0,0,0
9-Sep,0,1,1
10-Sep,0,0,1
11-Sep,0,1,1
12-Sep,2,5,8
13-Sep,1,1,2
14-Sep,0,0,0
15-Sep,0,0,0
16-Sep,0,1,1
17-Sep,1,2,4
18-Sep,1,0,2
19-Sep,0,0,2
20-Sep,0,4,2
21-Sep,0,0,0
22-Sep,1,0,2
23-Sep,1,5,0
24-Sep,0,10,1
25-Sep,1,8,2
26-Sep,0,3,1
27-Sep,0,3,0
28-Sep,0,0,0
29-Sep,3,3,0
30-Sep,0,0,1
1-Oct,0,2,0
2-Oct,0,8,6
3-Oct,0,1,1
4-Oct,0,3,1
